id,content_demo,original
8,Quan chức Ukraine nói rằng Nga đã rút gần như toàn bộ lực lượng khỏi lãnh thổ quốc gia đồng minh Belarus.
9,Tổng thống Hàn Quốc Yoon Suk-yeol đến Ukraine trong chuyến thăm không được thông báo rộng rãi trước đó.
11,"Chuyến thăm của bà Kamala Harris, đánh dấu lần đầu tiên một phó tổng thống Mỹ thăm Việt Nam, diễn ra trong bối cảnh quan hệ song phương tiếp tục phát triển tích cực, nên được dư luận quốc tế quan tâm."
12,"Từ rác thải, chị Nguyễn Xuân Hoa ( Hải Phòng) đã tái chế thành những sản phẩm đẹp mắt, hữu dụng trong gia đình, góp phần lan toả tinh thần sống xanh."
